name;chrom;strand;txStart;txEnd;exonCount;name2;Length;Name3
NM_130786;chr19;-;58858171;58864865;8;A1BG;6694;A1BG
NR_015380;chr19;+;58863335;58866549;4;A1BG-AS1;3214;A1BG-AS1
NM_138933;chr10;-;52559168;52645435;13;A1CF;86267;A1CF
NM_000014;chr12;-;9220303;9268558;36;A2M;48255;A2M
NR_026971;chr12;+;9217772;9220651;3;A2M-AS1;2879;A2M-AS1
NM_144670;chr12;+;8975149;9029381;36;A2ML1;54232;A2ML1
NR_040112;chr12;-;9381128;9386803;9;A2MP1;5675;A2MP1
NM_001080438;chr1;-;33772366;33786699;5;A3GALT2;14333;A3GALT2
NM_017436;chr22;-;43088126;43116876;3;A4GALT;28750;A4GALT
NM_016161;chr3;-;137842559;137851229;3;A4GNT;8670;A4GNT
NR_037584;chr17;-;31856805;31860779;3;AA06;3974;AA06
NM_001173466;chr12;-;53701239;53715412;15;AAAS;14173;AAAS
NM_023928;chr12;+;125549924;125627871;18;AACS;77947;AACS
NR_024035;chr5;-;178191863;178203277;7;AACSP1;11414;AACSP1
NM_001086;chr3;+;151531860;151546276;5;AADAC;14416;AADAC
NM_207365;chr3;+;151451703;151475556;5;AADACL2;23853;AADACL2
NM_001103169;chr1;+;12776117;12788726;3;AADACL3;12609;AADACL3
NM_001013630;chr1;+;12704565;12727097;4;AADACL4;22532;AADACL4
NM_001286683;chr4;-;170981372;171011538;14;AADAT;30166;AADAT
NM_153698;chr9;-;99403532;99417599;6;AAED1;14067;AAED1
NM_001271885;chr15;-;67493012;67547536;10;AAGAB;54524;AAGAB
NM_014911;chr2;-;69685126;69870977;22;AAK1;185851;AAK1
NM_024684;chr11;+;77532207;77583398;4;AAMDC;51191;AAMDC
NM_001087;chr2;-;219128851;219134893;11;AAMP;6042;AAMP
NM_001166579;chr17;+;74449432;74466199;7;AANAT;16767;AANAT
NM_015511;chr20;+;34824338;34844863;4;AAR2;20525;AAR2
NM_001025357;chr8;+;117950463;117956239;2;AARD;5776;AARD
NM_001605;chr16;-;70286296;70323412;21;AARS;37116;AARS
NM_020745;chr6;-;44266462;44281063;22;AARS2;14601;AARS2
NM_001261434;chr17;-;41102542;41116515;12;AARSD1;13973;AARSD1
NM_181806;chr4;-;57204450;57253674;15;AASDH;49224;AASDH
NM_015423;chr11;+;105948291;105969419;6;AASDHPPT;21128;AASDHPPT
NM_005763;chr7;-;121713597;121784344;24;AASS;70747;AASS
NM_012138;chr17;+;35306174;35414171;12;AATF;107997;AATF
NM_001080395;chr17;-;79091095;79139872;14;AATK;48777;AATK
NR_027255;chr17;+;79139306;79156964;6;AATK-AS1;17658;AATK-AS1
NM_020686;chr16;+;8768443;8878432;16;ABAT;109989;ABAT
NM_005502;chr9;-;107543283;107690527;50;ABCA1;147244;ABCA1
NM_080282;chr17;-;67144147;67240956;40;ABCA10;96809;ABCA10
NR_002451;chr4;-;419223;467998;3;ABCA11P;48775;ABCA11P
NM_173076;chr2;-;215796265;216003151;53;ABCA12;206886;ABCA12
NM_152701;chr7;+;48211056;48687091;62;ABCA13;476035;ABCA13
NR_003574;chr16;+;2390922;2476700;17;ABCA17P;85778;ABCA17P
NM_212533;chr9;-;139901685;139923374;49;ABCA2;21689;ABCA2
NM_001089;chr16;-;2325878;2390747;33;ABCA3;64869;ABCA3
NM_000350;chr1;-;94458393;94586705;50;ABCA4;128312;ABCA4
NM_172232;chr17;-;67240575;67323323;39;ABCA5;82748;ABCA5
NM_080284;chr17;-;67074846;67138015;39;ABCA6;63169;ABCA6
NM_019112;chr19;+;1040101;1065570;47;ABCA7;25469;ABCA7
NM_007168;chr17;-;66863427;66951533;38;ABCA8;88106;ABCA8
NM_080283;chr17;-;66970772;67057136;39;ABCA9;86364;ABCA9
NM_000927;chr7;-;87133178;87342639;29;ABCB1;209461;ABCB1
NM_012089;chr1;-;229652328;229694442;13;ABCB10;42114;ABCB10
NM_003742;chr2;-;169779448;169887833;28;ABCB11;108385;ABCB11
NM_000443;chr7;-;87031360;87105019;28;ABCB4;73659;ABCB4
NM_001163941;chr7;+;20655244;20796637;28;ABCB5;141393;ABCB5
NM_005689;chr2;-;220074487;220083712;19;ABCB6;9225;ABCB6
NM_001271696;chrX;-;74273006;74376175;16;ABCB7;103169;ABCB7
NM_007188;chr7;+;150725508;150744869;16;ABCB8;19361;ABCB8
NM_001243014;chr12;-;123405497;123451056;12;ABCB9;45559;ABCB9
NM_004996;chr16;+;16043433;16236930;31;ABCC1;193497;ABCC1
NM_001198934;chr6;+;43395291;43418163;22;ABCC10;22872;ABCC10
NM_032583;chr16;-;48200821;48269088;30;ABCC11;68267;ABCC11
NM_033226;chr16;-;48116883;48180681;29;ABCC12;63798;ABCC12
NR_003087;chr21;+;15646119;15673692;6;ABCC13;27573;ABCC13
NM_000392;chr10;+;101542354;101611949;32;ABCC2;69595;ABCC2
NM_003786;chr17;+;48712217;48769063;31;ABCC3;56846;ABCC3
NM_005845;chr13;-;95672082;95953687;31;ABCC4;281605;ABCC4
NM_005688;chr3;-;183637723;183735727;30;ABCC5;98004;ABCC5
NR_046570;chr3;+;183724125;183729207;3;ABCC5-AS1;5082;ABCC5-AS1
NM_001171;chr16;-;16243421;16317328;31;ABCC6;73907;ABCC6
NR_003569;chr16;+;18582569;18609607;10;ABCC6P1;27038;ABCC6P1
